eb727f972742f7ff6b07ee761ae5da1b,c82c51bc925071ff17983d79b472c9f8,87a4ccc2101bb6109d397e91e9291624,d08c1bbf135ff7e0c8324fbc890e9916,b496d19eb25556bd64e481d11b6f7dd6,6f50051fef25e2633f4d3073104d7a2c,6ae8abe8c2cf3bcf9cc6df31f4d06d4d,e65bd9b13ec4a97ac7b912f37c3e36d4,9a7670be67a118ddd4b30f5cdd3b035e,007a81eb198c0128bd7a4b276498983c
1.,0.4392658379566679,1.2266960295455926,1.2462493007498021,0.08666842303519139,0.5783695817558989,0.3588231944869329,0.009433243037977128,0.005779610491503326,0.1270459200299033
5.29281121244656,1.,0.22087682510397327,0.20268683211950433,0.18211310896553862,2.499443796293784,0.9185345679634417,0.0683103422881484,0.049930426086922816,0.5178934802072876
3.753474761533078,0.056090294093619,1.,0.26387419301179466,0.056725155984090066,0.06424802331567203,0.2554910632115744,0.005718678424243259,0.003193010810369214,0.0028731191601318543
3.742767960305898,0.05051897565103815,0.2589931949655884,1.,0.05485182337052079,0.06459855706993226,0.2548477658542617,0.005568458027892526,0.0032952828475262676,0.002759111056152161
0.36145265262042275,0.06303369354503317,0.07731605390430576,0.07617169420240276,1.,0.0892909128716989,0.029263678988992414,0.3740580497588527,0.27756692760214385,0.006104146123867211
4.516842980563183,1.6199960307391619,0.1639807164264594,0.167982635739928,0.1672038567147081,1.,0.9853087105177876,0.015120874041285337,0.01281468325047292,0.38481481388437394
11.625523710265764,2.4698384575299634,2.7052735799895777,2.7493173527879105,0.2273371547681084,4.087660239708181,1.,0.02146951537258989,0.011078686816050025,0.4820010422094841
0.10238389509185747,0.06153158626083192,0.02028475466270049,0.020124152474321106,0.9734622340462674,0.021014447214250304,0.007192184957859382,1.,1.6964129850360656,0.0012568866916647463
0.052514204877592535,0.03765169406317955,0.009481609652302008,0.009969719643650479,0.6047215142516427,0.014909275843524212,0.0031069516215773843,1.4201662496784904,1.,0.0012831154862393902
11.991680582966449,4.056960680127524,0.08862911795961743,0.0867162592986185,0.1381509032943677,4.650948838621527,1.4042204341885531,0.010930620919993927,0.013329284955214817,1.
